Item Hex,Item Name
00001d57,Knitted-grass backpack (green)
00001d58,Hard-shell backpack (blue)
000027c8,Hard-shell backpack (red)
00002eaa,Hard-shell backpack (silver)
00002621,Nook Inc. knapsack
00002f63,DAL backpack
0000309f,Bunny Day bag
00001ab6,Town backpack (green)
00001ab7,Town backpack (orange)
00002ea8,Town backpack (blue)
00002ea9,Town backpack (red)
000009f6,Travel pouch (pink)
00002ee0,Travel pouch (green)
00002ee1,Travel pouch (light blue)
00002ee2,Travel pouch (purple)
00001d2e,Messenger bag (green)
00002eca,Messenger bag (orange)
00002ecb,Messenger bag (black)
00001d2f,Dry bag (yellow)
00002ebc,Dry bag (blue)
00001d34,Pleather shoulder bag (brown)
00002ee9,Pleather shoulder bag (navy blue)
00001d35,Fish pochette
00001d36,Tackle bag
00001d37,Bug cage
00001d38,Faux-fur bag (pink)
00002ee3,Faux-fur bag (purple)
00001d39,Pleather fringe bag (camel)
00002eea,Pleather fringe bag (white)
00001d3a,Hand-knit pouch (green)
00002ee4,Hand-knit pouch (purple)
00001d3b,Crossbody bag (pink)
00002ecc,Crossbody bag (green)
00002ecd,Crossbody bag (yellow)
00002ece,Crossbody bag (white)
00001d3c,Pleather crossbody bag (navy blue)
00002ee5,Pleather crossbody bag (black)
00001d3d,Crossbody boston bag (red)
00002eeb,Crossbody boston bag (blue)
00001d3e,Gumdrop shoulder bag (pop)
00002eec,Gumdrop shoulder bag (cool)
00001d3f,Cloth shoulder bag (blue)
00002eed,Cloth shoulder bag (orange)
00002eee,Cloth shoulder bag (ivory)
00001d40,Straw pochette (brown)
00001d41,Star pochette (yellow)
00001d42,Cherry-blossom pochette
00001d43,Maple-leaf pochette
00001d44,Acorn pochette
00001d45,Snowflake pochette
00001d46,Shellfish pochette
00001d49,Tool bag
00001c86,Retro sports bag (blue)
00002ee7,Retro sports bag (red)
00002ee8,Retro sports bag (black)
00001c88,Sacoche bag (blue)
00002ec6,Sacoche bag (red)
00002ec7,Sacoche bag (black)
00001c89,Evening bag (pink)
00002ec8,Evening bag (blue)
00002ec9,Evening bag (black)
00001d4a,Log pack
00001d4b,Traveler's backpack (orange)
00002ebd,Traveler's backpack (blue)
00002ebe,Traveler's backpack (brown)
00001d4c,Square backpack (yellow)
00002ebf,Square backpack (pink)
00002ec0,Square backpack (green)
00001d4d,Outdoor backpack (avocado)
00002ec1,Outdoor backpack (orange)
00002ec2,Outdoor backpack (navy blue)
00001d4e,Butterfly backpack
00001d4f,Studded backpack (black)
00002ee6,Studded backpack (white)
00001d50,Mini pleather bag (white)
00002eef,Mini pleather bag (black)
00001d51,Extra-large backpack (red)
00002ec3,Extra-large backpack (green)
00002ec4,Extra-large backpack (black)
00002ec5,Extra-large backpack (blue)
00001d52,Basket pack
00001d53,Foldover-top backpack (green)
00002ef0,Foldover-top backpack (blue)
00002ef1,Foldover-top backpack (gray)
00002ef2,Foldover-top backpack (pink)
00001d54,Knapsack (blue)
00002ef3,Knapsack (black)
00001d55,Canvas backpack
00001d56,Mom's knapsack (m)
00002f74,Mom's knapsack (flowers)
00002f75,Mom's knapsack (polka dots)
00002f76,Mom's knapsack (colorful quilt design)
00002f77,Mom's knapsack (cherries)
00002f78,Mom's knapsack (denim with stripes)
00002f79,Mom's knapsack (forest print)
00002f7a,Mom's knapsack (chick)
