Item Hex,Item Name
00000cec,Chino pants (beige)
0000104f,Chino pants (brown)
00001050,Chino pants (navy blue)
00001051,Chino pants (avocado)
00001052,Chino pants (gray)
00002335,Chino pants (red)
00002336,Chino pants (blue)
00002337,Chino pants (yellow)
00000cf5,Two-tone pants (monotone)
00001057,Two-tone pants (yellow)
00001058,Two-tone pants (red)
00001059,Two-tone pants (blue)
00000cf7,Gingham picnic skirt (red)
00002fa0,Gingham picnic skirt (green)
00002fa1,Gingham picnic skirt (blue)
00002fa2,Gingham picnic skirt (gray)
00002fa3,Gingham picnic skirt (orange)
00002fa4,Gingham picnic skirt (pink)
00002fa5,Gingham picnic skirt (purple)
00002fa6,Gingham picnic skirt (light blue)
00000963,Denim pants (blue)
0000105a,Denim pants (light blue)
0000105b,Denim pants (navy blue)
0000105c,Denim pants (black)
00002333,Denim pants (white)
00002670,Soccer shorts (green)
00002f27,Soccer shorts (red)
00002f28,Soccer shorts (navy blue)
00002f29,Soccer shorts (blue)
00002f2a,Soccer shorts (light blue)
00002f2b,Soccer shorts (white)
00002f2c,Soccer shorts (orange)
00002f2d,Soccer shorts (black)
00002671,Explorer shorts (camel)
00002f24,Explorer shorts (avocado)
00002f25,Explorer shorts (beige)
00002f26,Explorer shorts (blue)
00002672,Animal-stripes skirt (tiger)
00002f23,Animal-stripes skirt (zebra)
00002674,Football pants (green)
00002f1b,Football pants (white)
00002f1c,Football pants (yellow)
00002f1d,Football pants (berry red)
00002f1e,Football pants (blue)
00002f1f,Football pants (turquoise)
00002f20,Football pants (red)
00002f21,Football pants (black)
00002696,Labelle shorts (twilight)
00002dd8,Labelle shorts (midnight)
00002dd9,Labelle shorts (passion)
00002dda,Labelle shorts (ocean)
00002ddb,Labelle shorts (sunset)
00002ddc,Labelle shorts (love)
00002697,Labelle skirt (twilight)
00002ddd,Labelle skirt (midnight)
00002dde,Labelle skirt (passion)
00002ddf,Labelle skirt (ocean)
00002de0,Labelle skirt (sunset)
00002de1,Labelle skirt (love)
00002f8d,Polka-dot mini skirt (beige)
00002f90,Polka-dot mini skirt (pink)
