Item Hex,Item Name
000008fa,Pacifier (baby purple)
00002b05,Pacifier (baby mint)
00002b06,Pacifier (baby yellow)
00002b07,Pacifier (baby green)
00002b08,Pacifier (baby pink)
00002b09,Pacifier (baby gray)
00002b0a,Pacifier (baby blue)
00002b0b,Pacifier (baby orange)
0000269f,Labelle sunglasses (twilight)
00002e00,Labelle sunglasses (midnight)
00002e01,Labelle sunglasses (passion)
00002e02,Labelle sunglasses (ocean)
00002e03,Labelle sunglasses (sunset)
00002e04,Labelle sunglasses (love)
000025b6,Nook Inc. eye mask
00002f60,DAL eye mask
00002f61,DAL sunglasses
00000ddd,Beak
00000dde,Handlebar mustache
0000108b,Rimmed glasses (black)
00002bb0,Rimmed glasses (gold)
00002bb1,Rimmed glasses (gray)
00002bb2,Rimmed glasses (brown)
00002bb3,Rimmed glasses (purple)
0000108c,Square glasses (brown)
00002b3a,Square glasses (black)
00002b3b,Square glasses (gray)
00002b3c,Square glasses (blue)
0000108d,Heart shades (pink)
00002bb4,Heart shades (yellow)
00002bb5,Heart shades (blue)
00002bb6,Heart shades (purple)
00002bb7,Heart shades (green)
0000108e,Browline glasses (black)
00002b3d,Browline glasses (brown)
00002b3e,Browline glasses (green)
00002b3f,Browline glasses (gray)
0000108f,Octagonal glasses (gray)
00002b40,Octagonal glasses (green)
00002b41,Octagonal glasses (purple)
00002b42,Octagonal glasses (gold)
00002b43,Octagonal glasses (black)
00001090,Star shades (yellow)
00002bb8,Star shades (pink)
00002bb9,Star shades (blue)
00002bba,Star shades (purple)
00002bbb,Star shades (green)
00001091,Round shades (black)
00002bbc,Round shades (green)
00002bbd,Round shades (blue)
00002bbe,Round shades (yellow)
00002bbf,Round shades (pink)
00002bc0,Round shades (red)
00002bc1,Round shades (white)
00002bc2,Round shades (purple)
00001092,Triangle shades (red)
00002bc3,Triangle shades (orange)
00002bc4,Triangle shades (blue)
00002bc5,Triangle shades (purple)
00002bc6,Triangle shades (green)
00002bc7,Triangle shades (white)
00002bc8,Triangle shades (black)
000010a7,Double-bridge glasses (gold)
00002b44,Double-bridge glasses (purple)
00002b45,Double-bridge glasses (silver)
00002b46,Double-bridge glasses (blue)
000010ba,Glass-bottle glasses
000010f1,Shattered glasses
00001149,Eye mask (blue)
00002b92,Eye mask (pink)
00002b93,Eye mask (gray)
00002b94,Eye mask (green)
00002b95,Eye mask (orange)
00002b96,Eye mask (red)
00001163,Doctor's mask
00001164,Post-op patch
00001165,Ski goggles (white)
00002cd7,Ski goggles (yellow)
00002cd8,Ski goggles (purple)
00002cd9,Ski goggles (pink)
00002cda,Ski goggles (green)
00002cdb,Ski goggles (orange)
00001166,Goggles (black)
00002cdc,Goggles (blue)
00002cdd,Goggles (pink)
00002cde,Goggles (green)
00002cdf,Goggles (purple)
00002ce0,Goggles (red)
00001168,Retro shades (yellow)
00002bc9,Retro shades (green)
00002bca,Retro shades (red)
00002bcb,Retro shades (purple)
00002bcc,Retro shades (blue)
00002bcd,Retro shades (gray)
00001169,Eye patch
0000116a,Sporty shades (black)
00002ce1,Sporty shades (white)
00002ce2,Sporty shades (pink)
00002ce3,Sporty shades (lime)
00002ce4,Sporty shades (light blue)
0000116b,Pilot shades (black)
00002bce,Pilot shades (gold)
0000116c,Tortoise specs (brown)
00002b47,Tortoise specs (beige)
00002b48,Tortoise specs (black)
0000116d,Tiny shades (gold)
00002bcf,Tiny shades (black)
00002bd0,Tiny shades (berry red)
0000116e,Monocle (black)
00002af8,Monocle (gold)
00002af9,Monocle (silver)
0000116f,3D glasses (white)
00002b0c,3D glasses (black)
00001170,Ladder shades (red)
00002afa,Ladder shades (blue)
00002afb,Ladder shades (green)
00002afc,Ladder shades (pink)
00002afd,Ladder shades (yellow)
00002afe,Ladder shades (gold)
00001183,Cat nose (white)
00002b0d,Cat nose (brown)
00002b0e,Cat nose (navy blue)
0000118b,Cucumber pack
00001190,Fake nose
00001195,Stache & glasses (black)
00002aff,Stache & glasses (red)
0000119e,Birthday shades (yellow)
00002bd1,Birthday shades (pink)
00002bd2,Birthday shades (red)
00002bd3,Birthday shades (blue)
000011a0,Facial mask
000011a1,Funny glasses (brown)
00002b00,Funny glasses (pink)
00002b01,Funny glasses (blue)
000011c8,Cyber shades (red)
00002cea,Cyber shades (black)
00002ceb,Cyber shades (silver)
00002cec,Cyber shades (purple)
00002ced,Cyber shades (green)
00002cee,Cyber shades (yellow)
000011f5,Bottom-rimmed glasses (red)
00002b49,Bottom-rimmed glasses (purple)
00002b4a,Bottom-rimmed glasses (green)
00002b4b,Bottom-rimmed glasses (blue)
00002b4c,Bottom-rimmed glasses (yellow)
00002b4d,Bottom-rimmed glasses (pink)
00002b4e,Bottom-rimmed glasses (black)
000011f8,Bunny nose (pink)
00002b0f,Bunny nose (yellow)
00002b10,Bunny nose (white)
000011ff,Round tinted shades (brown)
00002bd4,Round tinted shades (light brown)
00002bd5,Round tinted shades (dark brown)
00002bd6,Round tinted shades (green)
00001200,Butterfly shades (blue)
00002cef,Butterfly shades (red)
00002cf0,Butterfly shades (brown)
00001201,Oval glasses (green)
00002b4f,Oval glasses (orange)
00002b50,Oval glasses (blue)
00002b51,Oval glasses (purple)
00002b52,Oval glasses (magenta)
00002b53,Oval glasses (mustard)
00002b54,Oval glasses (black)
00001226,Pixel shades (red)
00002bd7,Pixel shades (green)
00002bd8,Pixel shades (blue)
00002bd9,Pixel shades (black)
00001227,Pig nose
00001229,Gas mask (black)
00002b98,Gas mask (avocado)
0000122c,Sticky rice
0000123b,Masquerade mask (purple)
00002b99,Masquerade mask (black)
00002b9a,Masquerade mask (blue)
00002b9b,Masquerade mask (red)
00002b9c,Masquerade mask (green)
00002b9d,Masquerade mask (gold)
0000123d,Wooden-frame glasses (brown)
00002b55,Wooden-frame glasses (dark brown)
0000123f,Privacy mask
00001240,Curly mustache
00001244,Goatee
00001245,Bandage
00001246,Jester's mask (black)
00002b9e,Jester's mask (red)
00002b9f,Jester's mask (green)
00002ba0,Jester's mask (blue)
00001247,Rounded beard
0000124a,Leaf
0000124b,Rhinestone shades (red)
00002bda,Rhinestone shades (ochre)
00002bdb,Rhinestone shades (purple)
0000124c,Superhero mask
0000124d,Steampunk glasses (green)
00002cf1,Steampunk glasses (purple)
0000143e,HMD
0000148d,Night-vision goggles
0000147c,Dog nose (white)
00002b11,Dog nose (beige)
00002b12,Dog nose (black)
00001622,Candy-skull mask (purple)
00002ba1,Candy-skull mask (orange)
00002ba2,Candy-skull mask (blue)
0000166a,Bubblegum (pink)
00002b13,Bubblegum (blue)
00002b14,Bubblegum (yellow)
00002b15,Bubblegum (green)
00002b16,Bubblegum (white)
0000166b,Flower sunglasses (red)
00002bdc,Flower sunglasses (orange)
00002bdd,Flower sunglasses (blue)
00002bde,Flower sunglasses (purple)
00002bdf,Flower sunglasses (green)
0000168d,Drinking-straw glasses (green)
00002b02,Drinking-straw glasses (blue)
00002b03,Drinking-straw glasses (pink)
00002b04,Drinking-straw glasses (white)
000016c9,Nose drip
000016e1,Food mess
00001797,Reflector
00001798,Pleather mask
