Item Hex,Item Name
00000ca2,Sweater dress (olive)
0000103e,Sweater dress (beige)
0000103f,Sweater dress (dark brown)
00000c9a,Parka dress (yellow)
00001040,Parka dress (orange)
00001041,Parka dress (blue)
00001042,Parka dress (green)
00001043,Parka dress (pink)
00000bf3,Overall dress (denim)
00001044,Overall dress (yellow)
00001045,Overall dress (beige)
00001046,Overall dress (red)
00002334,Overall dress (green)
00000a90,Layered tank dress (berry red)
00001047,Layered tank dress (beige)
00001048,Layered tank dress (blue)
00001049,Layered tank dress (brown)
00000bf2,Cheerleading uniform (red)
00002495,Cheerleading uniform (purple)
00002496,Cheerleading uniform (blue)
00002497,Cheerleading uniform (berry red)
00002498,Cheerleading uniform (green)
00002499,Cheerleading uniform (pink)
0000249a,Cheerleading uniform (light blue)
0000249b,Cheerleading uniform (yellow)
00000a27,Satin dress (green)
00001f06,Satin dress (blue)
00001f07,Satin dress (berry red)
00001f08,Satin dress (purple)
00001f09,Satin dress (pink)
00000a75,Tweed dress (yellow)
00002263,Tweed dress (pink)
00002264,Tweed dress (blue)
00000a7e,Gumdrop dress (pop)
00002265,Gumdrop dress (cool)
00000a7f,Tropical muumuu (mint)
00002568,Tropical muumuu (white)
00002569,Tropical muumuu (blue)
0000256a,Tropical muumuu (yellow)
0000256b,Tropical muumuu (pink)
00000a8b,Academy uniform (navy blue)
00002338,Academy uniform (gray)
00002339,Academy uniform (red)
00000a92,Retro dress (green)
00001ee8,Retro dress (black)
00001ee9,Retro dress (orange)
00001eea,Retro dress (pink)
00001eeb,Retro dress (yellow)
00001eec,Retro dress (light blue)
00000adf,Dazed dress (pink)
0000206c,Dazed dress (blue)
0000206d,Dazed dress (green)
00000ae0,Prim outfit (blue)
0000233a,Prim outfit (gray)
0000233b,Prim outfit (pink)
00000bee,Belted dotted dress (light blue)
000022a2,Belted dotted dress (pink)
000022a3,Belted dotted dress (yellow)
000022a4,Belted dotted dress (green)
00000bfd,Blossom dress (pink)
00002266,Blossom dress (blue)
00002267,Blossom dress (yellow)
00002268,Blossom dress (green)
00002269,Blossom dress (purple)
00000bfe,Lace-up dress (pink)
000021e7,Lace-up dress (blue)
000021e8,Lace-up dress (purple)
00000c38,Plover dress (brown)
0000233c,Plover dress (gray)
0000233d,Plover dress (green)
00000c3b,Fancy party dress (blue)
00001ef2,Fancy party dress (pink)
00001ef3,Fancy party dress (green)
00001ef4,Fancy party dress (beige)
00000c3e,Rad power skirt suit (red)
00001edd,Rad power skirt suit (pink)
