Item Name,Item Hex
Basement flooring,000012bd
Ship deck,00001356
Concrete flooring,00001357
Green rubber flooring,00001358
Arabesque flooring,00001359
Blue rubber flooring,0000135a
Jointed-mat flooring,0000135b
Pastel puzzle flooring,0000135c
Colorful puzzle flooring,0000135d
Rose flooring,0000135e
Leopard-print flooring,0000135f
Steel flooring,00001360
Giraffe-print flooring,00001361
Zebra-print flooring,00001362
Stripe flooring,00001363
Bamboo flooring,00001364
Beige desert-tile flooring,00001365
Blue desert-tile flooring,00001366
Rattan flooring,00001367
Lunar surface,00001368
Cork flooring,00001369
Sandy-beach flooring,0000136a
Terra-cotta flooring,0000136b
Hexagonal floral flooring,0000136c
Random-square-tile flooring,0000136d
White-brick flooring,0000136e
Red-brick flooring,0000136f
Black-brick flooring,00001370
Floral rush-mat flooring,00001371
Gravel flooring,00001372
Backyard lawn,00001373
Field flooring,00001374
Dirt flooring,00001375
Boxing-ring mat,00001376
Saharah's desert,00001377
Western desert,00001378
Sandlot,00001379
Money flooring,0000137a
Cubic parquet flooring,0000137b
Paintball flooring,0000137c
Ski-slope flooring,0000137d
Colored-leaves flooring,0000137e
Light wood-pattern flooring,0000137f
Dark wood-pattern flooring,00001380
Floral mosaic-tile flooring,00001381
Argyle tile flooring,00001382
Patchwork-tile flooring,00001383
Racetrack flooring,00001384
Parking flooring,00001385
Arched-brick flooring,00001386
Honeycomb flooring,00001387
Simple red flooring,00001388
Simple blue flooring,00001389
Simple purple flooring,0000138b
Simple white flooring,0000138c
Daisy meadow,0000138d
Wildflower meadow,0000138e
Crosswalk flooring,0000138f
Sidewalk flooring,00001390
Train-station flooring,00001391
Scramble crosswalk,00001392
Dig-site flooring,00001393
Imperial tile,00001394
Sumo ring,00001395
Camo flooring,00001397
Blue camo flooring,00001398
Purple camo flooring,00001399
Common flooring,0000139a
Pine-board flooring,0000139b
White mosaic-tile flooring,0000139c
Golden flooring,0000139d
Light parquet flooring,0000139e
Monochromatic dot flooring,0000139f
Marine pop flooring,000013a0
Dark parquet flooring,000013a1
Mint dot flooring,000013a2
Red dot flooring,000013a3
Blue dot flooring,000013a4
Water flooring,000013a6
Flagstone flooring,000013a7
Birch flooring,000013a8
Natural-block flooring,000013a9
Lobby flooring,000013aa
Dark-block flooring,000013ab
Aqua tile flooring,000013ac
Colorful mosaic-tile flooring,000013ad
Brown honeycomb tile,000013ae
Tatami,000013af
Blue honeycomb tile,000013b0
Green honeycomb tile,000013b1
White honeycomb tile,000013b2
Orange retro flooring,000013b3
Modern wood flooring,000013b4
Green retro flooring,000013b5
Gray vinyl flooring,000013b6
Red-and-black vinyl flooring,000013b7
Green vinyl flooring,000013b8
Wooden-knot flooring,000013b9
Dark-chocolates flooring,000013ba
Palace tile,000013bb
White-chocolates flooring,000013bc
Berry-chocolates flooring,000013bd
Pyramid tile,000013be
Sakura-wood flooring,000013c0
Blue-paint flooring,000013c1
Green-paint flooring,000013c2
Pink-paint flooring,000013c3
White-paint flooring,000013c4
Light herringbone flooring,000013c5
Dark herringbone flooring,000013c6
Rosewood flooring,000013c7
Gold iron-parquet flooring,000013c8
Brown iron-parquet flooring,000013c9
Black iron-parquet flooring,000013ca
Monochromatic tile flooring,000013cb
Colorful tile flooring,000013cc
Stone tile,000013cd
Cute-paint flooring,000013ce
Cool-paint flooring,000013cf
Yellow floral flooring,000013d1
Blue floral flooring,000013d2
Brown floral flooring,000013d3
Kitschy tile,000013d4
Tatami flooring,000013d5
Rush tatami flooring,000013d6
Rush tatami,000013d7
Gray argyle-tile flooring,000013d8
Brown argyle-tile flooring,000013d9
Circuit-board flooring,000013da
Rubber-tile flooring,0000142b
Artsy parquet flooring,00001470
Slate flooring,00001471
Mossy-garden flooring,00001472
Construction-site flooring,00001473
garbage-heap flooring,00001474
Highway flooring,00001475
Swamp flooring,00001476
Rocky-mountain flooring,00001477
Ramshackle flooring,00001478
Party flooring,00001479
Crop-circles flooring,0000147b
Skull-print flooring,00001480
Future-tech flooring,00001482
Iceberg flooring,00001485
Oasis flooring,00001487
Cloud flooring,00001493
Underwater flooring,00001494
Galaxy flooring,00001495
Sci-fi flooring,00001496
Flowing-river flooring,00001499
Lava flooring,0000149a
Jungle flooring,0000158b
Ice flooring,0000158c
Nook Inc. flooring,00001775
White iron-parquet flooring,00001abb
Cool vinyl flooring,00001abc
Orange camo flooring,00001abd
Blue mosaic-tile flooring,00001abe
Green floral flooring,00001abf
Tiger-print flooring,00001ac0
Brown-brick flooring,00001ac1
Purple desert-tile flooring,00001b0f
Olive desert-tile flooring,00001b10
Sepia puzzle flooring,00001c10
Purple puzzle flooring,00001c11
Forest flooring,00001c12
Cherry-blossom flooring,00001c24
Cute white-tile flooring,00001c33
Cute red-tile flooring,00001c34
Cute blue-tile flooring,00001c35
Cute yellow-tile flooring,00001c36
Starry-sands flooring,00001c47
Bunny Day flooring,00003087
Pink heart rug,00001c9a
Brown wooden-deck rug,00001c9b
Rough rug,00001c9c
Ivory medium round mat,00001c9d
Apple rug,00001c9f
Cherry rug,00001ca0
Fluffy rug,00001ca1
Orange rug,00001ca2
Peach rug,00001ca3
Pear rug,00001ca4
Ivory simple bath mat,00001ca5
Ivory small round mat,00001ca6
White simple medium mat,00001ca7
White simple small mat,00001ca8
Iron entrance mat,00001ca9
White message mat,00001caa
Rubber mud mat,00001cab
Red-design kitchen mat,00001cac
Brown kitchen mat,00001cad
Red-and-blue checked rug,00001caf
Shanty mat,00001cb1
Snowflake rug,00001cb2
Red Persian rug,00001cb3
Red carpet,00001cb4
Monochromatic dotted rug,00001cb5
Modern wavy rug,00001cb6
Yellow stripes rug,00001cb7
Yellow argyle rug,00001cb8
Botanical rug,00001cb9
Green shaggy rug,00001cba
Aluminum rug,00001cbc
Earth rug,00001cbd
Tropical rug,00001cbe
Colorful vinyl sheet,00001cbf
Ladybug rug,00001cc0
Fish rug,00001cc1
Shell rug,00001cc2
Mush rug,00001cc3
Nook Inc. rug,00001cc4
Pink rose rug,00001cc5
Fossil rug,00001cc6
Magic-circle rug,00001cc7
Lacy rug,00001cc8
Tatami mat,00001cc9
