Item Hex,Item Name
00000050,Clackercart
00000053,Rocking horse
00000055,Train set
00000056,Elephant slide
00000058,Ringtoss
0000006d,Moss ball
00000083,Lucky cat
00000084,Succulent plant
00000090,Manhole cover
00000092,Cone
0000011f,Exercise bike
00000112,Treadmill
0000014a,Barbecue
0000014b,Birdbath
0000014d,Birdhouse
0000014f,Mr. Flamingo
00000150,Mrs. Flamingo
00000152,Lawn mower
00000157,Tiki torch
0000017f,Acoustic guitar
00000212,Grass standee
00000213,Hedge standee
00000214,Mountain standee
00000215,Tree standee
00000222,Stadiometer
00000298,Beach chair
00000299,Wave breaker
0000029b,Shaved-ice maker
0000029d,Ukulele
000002a4,Tall lantern
000002a5,Deer scare
000002aa,Boomerang
000002ab,Bottled ship
000002ad,Dala horse
000002b0,Pagoda
000002b1,Paper tiger
000002b2,Hula doll
000002b5,Statue of Liberty
000002ba,Moai statue
000002bc,Tower of Pisa
000002c0,Tapestry
000002c6,Bamboo bench
000002cc,Screen
000002cd,Clay furnace
000002d2,Hearth
000002d4,Kettle
000002d5,Paper lantern
000002d9,Garden rock
000002da,Tall garden rock
000002e3,Tea table
000002e6,Fireplace
00000313,Tape deck
00000316,Hi-fi stereo
00000317,Jukebox
00000319,High-end stereo
0000031a,Phonograph
0000031c,Retro stereo
00000325,Mush lamp
00000328,Mush table
00000340,Modern office chair
00000341,Upright locker
00000347,Safe
00000348,Office desk
0000034e,alto saxophone
00000351,Amp
0000035f,Billiard table
00000360,Bingo wheel
00000361,Birdcage
00000366,Book stands
0000036b,Breaker
00000370,Wooden bucket
00000379,Camp stove
0000037b,Holiday candle
00000380,Cat tower
0000038b,Vacuum cleaner
0000038c,Upright vacuum
00000393,Cuckoo clock
00000396,Coffee cup
00000398,Coffee grinder
000003a0,Pot rack
000003a1,Air conditioner
000003a9,Dartboard
000003ad,DJ's turntable
000003b6,Effects rack
000003ba,Espresso maker
000003bb,Exit sign
000003bd,Ventilation fan
000003cb,Snack machine
000003cf,Fruit basket
000003d5,Go board
000003db,Harp
000003e5,Incense burner
000003e6,Kitchen island
000003ff,Pile of leaves
00000405,Low screen
00000408,Magazine rack
00000412,Metronome
00000413,Microwave
00000415,Silver mic
0000041a,Mixer
0000041e,Moon
00000422,Music stand
00000439,Upright piano
0000043a,Picnic basket
0000043f,Pinball machine
00000444,Popcorn machine
0000044f,Rocking chair
00000457,Outdoor bath
00000458,Colorful wheel
0000045c,Sandbox
0000045d,Sand castle
00000460,Scarecrow
00000464,Sea globe
00000465,Revolving spice rack
00000466,Server
00000467,Old sewing machine
00000468,Sewing machine
0000046b,Outdoor air conditioner
00000477,Smoker
00000479,Snow globe
0000047d,Soccer goal
00000481,Spinning wheel
00000485,Brick oven
00000489,Cream and sugar
0000048d,Surveillance camera
00000492,Swinging bench
00000493,Synthesizer
00000499,Foosball table
0000049d,Tennis table
000004a1,Phone box
000004a2,Telescope
000004a5,Tire stack
000004af,Tricycle
000004b0,Gold fish trophy
000004b1,Silver fish trophy
000004b2,Bronze fish trophy
000004b3,Gold bug trophy
000004b4,Silver bug trophy
000004b5,Bronze bug trophy
000004bb,Typewriter
000004c1,Standing toilet
000004c5,Video camera
000004cb,Deluxe washer
000004cd,Bathroom sink
000004d0,Water cooler
000004d2,Portable toilet
000004d9,DIY workbench
000004db,Flashy-flower sign
000004ef,Pear wardrobe
000004f2,Barrel
000004fd,Cacao tree
00000508,Fan palm
0000051c,School chair
00000525,Anatomical model
00000527,Microscope
0000052e,Skeleton
00000530,School desk
00000531,Podium
00000532,Basic teacher's desk
00000544,Hamster cage
00000583,Globe
00000584,TV camera
00000595,Campfire
00000596,Bonfire
00000598,Lantern
00000599,Campfire cookware
0000059a,Sleeping bag
0000059f,Asteroid
