Item Name,Item Hex
Crown,00001f40
Zen hair clip (red),000021a2
Zen hair clip (aqua),00002619
Zen hair clip (dark blue),0000261a
Zen hair clip (golden yellow),0000261b
Zen hair clip (purple),0000261c
Zen hair clip (pink),0000261d
Zen hair clip (green),0000261e
Zen hair clip (sky blue),0000261f
Flashy hairpin (pink),000021a3
Flashy hairpin (blue),00002a5a
Flashy hairpin (black),00002a5b
Flashy hairpin (purple),00002a5c
Flashy hairpin (orange),00002a5d
Flashy hairpin (green),00002a5e
Flashy hairpin (white),00002a5f
Pilot's hat (navy blue),000021a4
Pilot's hat (black),00002e33
Pilot's hat (light blue),00002e34
Student cap (black),000021a5
Student cap (berry red),00002e2d
Student cap (green),00002e2e
Student cap (white),00002e2f
Student cap (purple),00002e30
Student cap (gray),00002e31
Student cap (blue),00002e32
Hibiscus hairpin (red),000021a6
Hibiscus hairpin (yellow),00002a60
Hibiscus hairpin (white),00002a61
Hibiscus hairpin (pink),00002a62
Baseball cap (red),00002623
Baseball cap (navy blue),00002f3c
Baseball cap (green),00002f3d
Baseball cap (orange),00002f3e
Baseball cap (yellow),00002f3f
Tweed cap (brown),00002629
Tweed cap (blue),00002ecf
Tweed cap (green),00002ed0
Floral hairpin (pink),0000267e
Floral hairpin (blue),00002eb7
Floral hairpin (green),00002eb8
Floral hairpin (yellow),00002eb9
Floral hairpin (purple),00002eba
Heart hairpin (pink),0000267f
Heart hairpin (red),00002f85
Heart hairpin (green),00002f86
Heart hairpin (blue),00002f87
Heart hairpin (black),00002f88
Star hairpin (yellow),00002680
Star hairpin (pink),00002f89
Star hairpin (purple),00002f8a
Star hairpin (mint),00002f8b
Star hairpin (black),00002f8c
Barrette,00002684
Giant ribbon (red),00002685
Giant ribbon (green),00002f14
Giant ribbon (blue),00002f15
Giant ribbon (yellow),00002f16
Giant ribbon (orange),00002f17
Giant ribbon (pink),00002f18
Giant ribbon (white),00002f19
Giant ribbon (black),00002f1a
Skateboarding helmet (orange),00002687
Skateboarding helmet (olive),00002f10
Skateboarding helmet (gray),00002f11
Skateboarding helmet (white),00002f12
