Item Hex,Item Name
00000c17,Stockings (black)
000025b7,Stockings (gray)
000025b8,Stockings (white)
000025b9,Stockings (brown)
000025ba,Stockings (beige)
00000c18,Fishnet tights (black)
000025bb,Fishnet tights (white)
000025bc,Fishnet tights (red)
00001af2,Vivid socks (green)
000025ab,Vivid socks (red)
00002725,Vivid socks (light blue)
00002726,Vivid socks (blue)
00002727,Vivid socks (purple)
00002728,Vivid socks (pink)
00002729,Vivid socks (orange)
0000272a,Vivid socks (yellow)
0000256c,Semi-opaque tights (brown)
000025cb,Semi-opaque tights (yellow)
000025cc,Semi-opaque tights (green)
000025cd,Semi-opaque tights (purple)
000025ce,Semi-opaque tights (blue)
000025cf,Semi-opaque tights (pink)
000025d0,Semi-opaque tights (red)
000025d1,Semi-opaque tights (yellow-green)
0000256d,Everyday tights (black)
000025d2,Everyday tights (light gray)
000025d3,Everyday tights (gray)
000025d4,Everyday tights (white)
000025d5,Everyday tights (navy blue)
000025d6,Everyday tights (beige)
0000256e,Vivid tights (light blue)
000025d7,Vivid tights (purple)
000025d8,Vivid tights (red)
000025d9,Vivid tights (pink)
000025da,Vivid tights (blue)
000025db,Vivid tights (yellow)
000025dc,Vivid Tights (green)
000025dd,Vivid tights (orange)
0000256f,Neon tights (yellow)
000025de,Neon tights (pink)
000025df,Neon tights (orange)
000025e0,Neon tights (green)
000025e1,Neon tights (purple)
00002571,Vivid leggings (light blue)
00002649,Vivid leggings (purple)
0000264a,Vivid leggings (red)
0000264b,Vivid leggings (pink)
0000264c,Vivid leggings (blue)
0000264d,Vivid leggings (yellow)
0000264e,Vivid leggings (green)
0000264f,Vivid leggings (orange)
00002572,Neon leggings (yellow)
00002650,Neon leggings (pink)
00002651,Neon leggings (orange)
00002652,Neon leggings (green)
00002653,Neon leggings (purple)
000025ad,Everyday socks (brown)
00002732,Everyday socks (black)
00002733,Everyday socks (navy blue)
00002734,Everyday socks (gray)
00002735,Everyday socks (beige)
00002736,Everyday socks (white)
000025ac,Semi-opaque socks (green)
0000272b,Semi-opaque socks (red)
0000272c,Semi-opaque socks (blue)
0000272d,Semi-opaque socks (navy blue)
0000272e,Semi-opaque socks (purple)
0000272f,Semi-opaque socks (camel)
00002730,Semi-opaque socks (avocado)
00002731,Semi-opaque socks (brown)
0000269a,Labelle tights (twilight)
00002dec,Labelle tights (midnight)
00002ded,Labelle tights (passion)
00002dee,Labelle tights (ocean)
00002def,Labelle tights (sunset)
00002df0,Labelle tights (love)
0000269b,Labelle socks (twilight)
00002df1,Labelle socks (midnight)
00002df2,Labelle socks (passion)
00002df3,Labelle socks (ocean)
00002df4,Labelle socks (sunset)
00002df5,Labelle socks (love)
000015fd,Nook Inc. socks
00002f8e,Dotted knee-high socks (black)
00002f93,Dotted knee-high socks (yellow)
00002f94,Dotted knee-high socks (cyan)
00002f95,Dotted knee-high socks (gray)
00002f8f,Simple knee-high socks (pink)
00002f96,Simple knee-high socks (white)
00002f97,Simple knee-high socks (red)
00002f98,Simple knee-high socks (blue)
0000126e,Back-bow socks (pink)
0000235d,Back-bow socks (yellow)
0000235e,Back-bow socks (black)
0000235f,Back-bow socks (white)
00002360,Back-bow socks (blue)
00002361,Back-bow socks (peacock blue)
