Item Name,Item Hex
Axe,00000834
Flimsy axe,00000bfc
Stone axe,000016e0
Golden axe,00002591
Cliff construction permit,000009ef
Fishing rod,00000949
Flimsy fishing rod,00000c0c
Fish fishing rod,00002117
Colorful fishing rod,00002118
Outdoorsy fishing rod,00002119
Golden rod,000021d4
Path construction permit,00000c03
Ladder,00000a37
Flimsy net,00000948
Net,00001698
Star net,00001ff0
Colorful net,00001ff1
Outdoorsy net,00001ff2
Golden net,00001ff3
Waterscaping permit,00000caf
Shovel,00000833
Flimsy shovel,00000c0a
Golden shovel,0000217e
Outdoorsy shovel,0000217f
Printed-design shovel,00002180
Colorful shovel,00002181
Slingshot,00000b06
Golden slingshot,00002182
Outdoorsy slingshot,00002183
Colorful slingshot,00002184
Timer,00000d03
Watering can,0000094b
Flimsy watering can,00000c0b
Golden watering can,00002155
Colorful watering can,00002156
Elephant watering can,00002157
Outdoorsy watering can,00002158
Vaulting pole,0000125f
たぬきかいはつヘルメット,00002244
Toad parasol,000016e5
Leaf umbrella,00001ab8
Sunny parasol,00001af8
Snowflake umbrella,00001af9
Hydrangea umbrella,00001afa
Strawberry umbrella,00001afb
Kiwi umbrella,00001afc
Watermelon umbrella,00001afd
Pineapple umbrella,00001afe
Grape umbrella,00001aff
Orange umbrella,00001b00
Raindrop umbrella,00001b01
Mini-flower-print umbrella,00001b02
Black lace umbrella,00001b03
Striped umbrella,00001b04
Tartan-check umbrella,00001b05
Patterned vinyl umbrella,00001b06
Bat umbrella,00001b07
Camo umbrella,00001b0b
Ghost umbrella,00001b0c
Frog umbrella,00001b0d
Candy umbrella,00001b0e
Pink umbrella,00001bfc
Vinyl umbrella,00001bfd
Two-tone umbrella,00001bfe
Bear umbrella,00001bff
Maple-leaf umbrella,00001c01
Panda umbrella,00001c02
Exquisite parasol,00001c03
Logo umbrella,00001c04
Spider umbrella,00001c05
Mush umbrella,00001c06
Fairy-tale umbrella,00001c07
Pink shiny-bows parasol,00001c08
Kabuki umbrella,00001c09
Paper parasol,00001c0a
Rainbow umbrella,00001c0b
Gelato umbrella,00001c0c
Petal parasol,00001c0d
Busted umbrella,00001c0e
Purple chic umbrella,00001c0f
Ladybug umbrella,0000223f
Fish umbrella,00002240
DAL umbrella,00002558
Nook Inc. Umbrella,00002559
Cherry-blossom umbrella,000026d9
Lacy parasol,000026da
Peach umbrella,000026db
Apple umbrella,000026dc
Cherry umbrella,000026dd
Pear umbrella,000026de
Melon umbrella,000026df
Mint umbrella,000026e0
Picnic umbrella,000026e1
Lemon umbrella,000026e2
Eggy parasol,000026e3
Blue dot parasol,000026e4
Beach umbrella,000026e5
Red umbrella,000026e6
Blue umbrella,000026e7
Green umbrella,000026e8
Purple shiny-bows parasol,00002f65
Blue shiny-bows parasol,00002f66
White shiny-bows parasol,00002f67
Green chic umbrella,00002f68
Black chic umbrella,00002f69
Red chic umbrella,00002f6a
