Item Name,Item Hex
Striped shirt (blue),00000a5f
Striped shirt (red),00001031
Striped shirt (green),00001032
Striped shirt (yellow),00001033
Striped shirt (purple),00001034
Striped shirt (navy blue),00001035
Mountain parka (red),00000cb7
Mountain parka (blue),0000103b
Mountain parka (green),0000103c
Mountain parka (black),0000103d
Peacoat (navy blue),00000ade
Peacoat (red),0000104c
Peacoat (beige),0000104d
Peacoat (gray),0000104e
Trench coat (beige),00000962
Trench coat (light blue),00002444
Trench coat (red),00002445
Trench coat (orange),00002446
Trench coat (navy blue),00002447
Kung-fu tee (navy blue),00000add
Kung-fu tee (white),000023ab
Kung-fu tee (light blue),000023ac
Kung-fu tee (yellow),000023ad
Kung-fu tee (green),000023ae
Letter jacket (blue),00000961
Letter jacket (red),00002071
Letter jacket (green),00002072
Letter jacket (beige),00002073
Three-ball tee,000009c2
Two-ball tee,000009ed
Layered tank (yellow),00000a6e
Layered tank (pink),00001f84
Layered tank (orange),00001f85
Layered tank (blue),00001f86
Layered tank (green),00001f87
Layered tank (light blue),00001f88
Layered tank (red),00001f89
Layered tank (purple),00001f8a
Silk shirt (green),00000a70
Silk shirt (red),000023a7
Silk shirt (blue),000023a8
Silk shirt (yellow),000023a9
Silk shirt (black),000023aa
Raglan tee (red),00000a72
Raglan tee (green),000020cc
Raglan tee (blue),000020cd
Raglan tee (black),000020ce
Raglan tee (white),000020cf
Basketball tank (purple),00000aa7
Basketball tank (red),00001f66
Basketball tank (green),00001f67
Basketball tank (orange),00001f68
Basketball tank (blue),00001f69
Basketball tank (yellow),00001f6a
Basketball tank (light blue),00001f6b
Basketball tank (black),00001f6c
Hand-knit tank (camel),00000aba
Hand-knit tank (white),00002e0d
Hand-knit tank (black),00002e0e
Hand-knit tank (blue),00002e0f
Hand-knit tank (green),00002e10
Hand-knit tank (red),00002e11
Down jacket (blue),00000ada
Down jacket (black),00002074
Down jacket (red),00002075
Down jacket (white),00002076
Down jacket (green),00002077
Down jacket (yellow),00002078
Down jacket (orange),00002079
Down jacket (lime),0000207a
Dress shirt (white),00000b07
Dress shirt (gray),00002091
Dress shirt (mint),00002092
Dress shirt (pink),00002093
Dress shirt (blue),00002094
Sailor's tee (navy blue),00000bef
Sailor's tee (orange),00001d88
Sailor's tee (light blue),00001d89
Sailor's tee (green),00001d8a
Sailor's tee (brown),00001d8b
Sailor's tee (purple),00001d8c
Sailor's tee (red),00001d8d
Sailor's tee (pink),00001d8e
Simple parka (gray),00000bf0
Simple parka (red),00001f21
Simple parka (green),00001f22
Simple parka (blue),00001f23
Simple parka (yellow),00001f24
Simple parka (pink),00001f25
Simple parka (light blue),00001f26
Simple parka (black),00001f27
Kids' smock (tulip),00000bf1
Kids' smock (chick),00002a91
Kids' smock (cherry blossom),00002a92
Kids' smock (frog),00002a93
Graduation gown (red),00000c44
Graduation gown (green),000021e9
Graduation gown (blue),000021ea
Graduation gown (yellow),000021eb
Short-sleeve dress shirt (white),00000c48
Short-sleeve dress shirt (red),00002095
Short-sleeve dress shirt (green),00002096
Short-sleeve dress shirt (yellow),00002097
Short-sleeve dress shirt (blue),00002098
Sleeveless dress shirt (white),00000c49
Sleeveless dress shirt (pink),00002099
Sleeveless dress shirt (green),0000209a
Sleeveless dress shirt (orange),0000209b
Sleeveless dress shirt (blue),0000209c
Hanten jacket (dark blue),00000c5c
Hanten jacket (green),000023ed
Hanten jacket (brown),000023ee
Hanten jacket (purple),000023ef
Raincoat (yellow),00000c62
Raincoat (green),00002060
Raincoat (blue),00002061
Raincoat (purple),00002062
Raincoat (pink),00002063
Raincoat (red),00002064
Raincoat (beige),00002065
Raincoat (black),00002066
Noble coat (green),00000c63
Noble coat (ruby red),00001cfb
Noble coat (white),00001cfc
Noble coat (blue),00001cfd
Noble coat (black),00001cfe
Noble coat (purple),00001cff
Noble coat (yellow),00001d00
Noble coat (red),00001d01
Polo shirt (navy blue),00000c64
Polo shirt (pink),00002159
Polo shirt (red),0000215a
Polo shirt (orange),0000215b
Polo shirt (green),0000215c
Polo shirt (ivory),0000215d
Polo shirt (white),0000215e
Polo shirt (black),0000215f
Doctor's coat (red necktie),00000c66
Doctor's coat (black necktie),00001e72
Chef's outfit (red),00000c69
Chef's outfit (blue),00002574
Chef's outfit (green),00002575
Chef's outfit (yellow),00002576
Chef's outfit (orange),00002577
Chef's outfit (brown),00002578
Chef's outfit (black),00002579
Café uniform (black),00000c6a
Café uniform (green),00002047
Café uniform (red),00002048
Café uniform (brown),00002049
Gym tee (red),00000c6b
Gym tee (blue),00002aa3
Gym tee (green),00002aa4
Gym tee (black),00002aa5
Tank (black),00000c78
Tank (white),000020b5
Tank (brown),000020b6
Tank (red),000020b7
Tank (navy blue),000020b8
Comedian's outfit (orange),00000c7d
Comedian's outfit (blue),00001fa1
Comedian's outfit (red),00001fa2
Comedian's outfit (yellow),00001fa3
Comedian's outfit (green),00001fa4
Comedian's outfit (purple),00001fa5
Comedian's outfit (aquamarine),00001fa6
Comedian's outfit (white),00001fa7
Biker jacket (black),00000c7e
Biker jacket (brown),0000216f
Biker jacket (beige),00002170
Biker jacket (red),00002171
Biker jacket (blue),00002172
Biker jacket (yellow),00002173
Garden tank (pink),00000c83
Garden tank (blue),00001f8b
Garden tank (orange),00001f8c
Garden tank (green),00001f8d
Denim jacket (blue),00000c89
Denim jacket (light blue),00002c9b
Denim jacket (navy blue),00002c9c
Denim jacket (black),00002c9d
Denim jacket (white),00002c9e
Rubber apron (black),00000c8c
Rubber apron (white),0000257a
Fishing vest (red),00000c93
Fishing vest (blue),000021a9
Fishing vest (orange),000021aa
Fishing vest (purple),000021ab
Fishing vest (black),000021ac
Fishing vest (pink),000021ad
Fishing vest (green),000021ae
Fishing vest (avocado),000021af
Faux-shearling coat (beige),00000c96
Faux-shearling coat (pink),00002406
Faux-shearling coat (green),00002407
Faux-shearling coat (black),00002408
Faux-shearling coat (gray),00002409
Flannel shirt (red),00000c99
Flannel shirt (green),000022f1
Flannel shirt (blue),000022f2
Flannel shirt (beige),000022f3
Flannel shirt (purple),000022f4
Denim vest (washed out),00000c9b
Denim vest (blue),00002c9f
Denim vest (navy blue),00002ca0
Denim vest (black),00002ca1
Denim vest (white),00002ca2
Apron (orange),00000c9c
Apron (green),0000257b
Apron (blue),0000257c
Apron (pink),0000257d
Apron (light blue),0000257e
Apron (purple),0000257f
Apron (gray),00002580
Apron (brown),00002581
Military uniform (red),00000c9f
Military uniform (blue),00001d19
Military uniform (green),00001d1a
Military uniform (white),00001d1b
Cavalier shirt (blue),00000ca1
Cavalier shirt (red),00002025
Cavalier shirt (green),00002026
Pineapple aloha shirt (blue),00000ca5
Pineapple aloha shirt (red),00001aa3
Pineapple aloha shirt (yellow),00001aa4
Pineapple aloha shirt (green),00001aa5
Pineapple aloha shirt (purple),0000262c
Pineapple aloha shirt (pink),0000262d
Pineapple aloha shirt (orange),0000262e
Lacy tank (white),00000ca7
Lacy tank (pink),00001f8e
Lacy tank (yellow),00001f8f
Lacy tank (green),00001f90
Lacy tank (purple),00001f91
Athletic jacket (red),00000cac
Athletic jacket (green),00001c1e
Athletic jacket (black),00001c1f
Athletic jacket (blue),00001c20
Athletic jacket (berry red),00001c21
Athletic jacket (navy blue),00001c22
Western shirt (blue),00000cad
Western shirt (pink),0000211d
Western shirt (yellow),0000211e
Western shirt (black),0000211f
Relay tank (blue),00000cae
Relay tank (light blue),0000249c
Relay tank (purple),0000249d
Relay tank (black),0000249e
Relay tank (orange),0000249f
Relay tank (green),000024a0
Relay tank (red),000024a1
Relay tank (white),000024a2
Silk floral-print shirt (pink),00000cb0
Silk floral-print shirt (blue),000023af
Silk floral-print shirt (mustard),000023b0
Silk floral-print shirt (gray),000023b1
Silk floral-print shirt (purple),000023b2
Silk floral-print shirt (green),000023b3
Silk floral-print shirt (orange),000023b4
Soccer-uniform top (yellow),00000cb1
Soccer-uniform top (black),000024a3
Soccer-uniform top (red),000024a4
Soccer-uniform top (blue),000024a5
Soccer-uniform top (light blue),000024a6
Soccer-uniform top (green),000024a7
Soccer-uniform top (orange),000024a8
Soccer-uniform top (white),000024a9
Tiger jacket,00000cb5
Happi tee (blue),00000cb6
Happi tee (red),000023f0
Happi tee (black),000023f1
Happi tee (green),000023f2
Happi tee (purple),000023f3
Dragon jacket,00000cb8
MVP tee,00001ab3
No. 1 shirt,00001ae8
Camo tee (brown),00000cb9
Camo tee (avocado),000020e4
Camo tee (pink),000020e5
Camo tee (gray),000020e6
Camo tee (blue),000020e7
Camo tee (purple),00003040
Camo tee (red),00003041
Cycling shirt (blue & white),00000cba
Cycling shirt (black & blue),000024aa
Cycling shirt (black & red),000024ab
Cycling shirt (yellow & black),000024ac
Cycling shirt (red & green),000024ad
Cycling shirt (red & orange),000024ae
Cycling shirt (lime & light blue),000024af
Cycling shirt (purple & pink),000024b0
Danger tank,00002000
Heart sweater (pink),00002001
Heart sweater (red),0000206b
Tree sweater,00002002
Frog tee,00002003
Bear tee,00002004
Rabbit tee,00002005
Animal-stripes tee (tiger),00002006
Animal-stripes tee (zebra),00002f22
Leopard tee (yellow),00002007
Leopard tee (pink),0000206e
Leopard tee (green),0000206f
Leopard tee (gray),00002070
Bone tee,00002008
Chick tee,00000cbb
Misty tee,00002009
Marble-dots tee (black),0000200a
Marble-dots tee (white),00002068
Simple-dots tee (yellow),0000200b
Simple-dots tee (light blue),0000251a
Simple-dots tee (red),0000251b
Simple-dots tee (green),0000251c
Simple-dots tee (black),0000251d
Zigzag shirt,0000200c
Blossom tee (pink),0000200d
Blossom tee (blue),00002f43
Blossom tee (yellow),00002f44
Blossom tee (green),00002f45
Blossom tee (purple),00002f46
Bold aloha shirt (navy blue),0000200e
Bold aloha shirt (pink),00002f42
Spider-web tee,0000200f
Skull tee (black),00002010
Skull tee (beige),00002fa7
Skull tee (purple),00002fa8
A tee,00002154
Starry tank,0000253f
Flame tee,00002540
Mom's hand-knit sweater (m),0000223a
Mom's hand-knit sweater (flowers),0000258e
Mom's hand-knit sweater (star),00002f6d
Mom's hand-knit sweater (animal),00002f6e
Mom's hand-knit sweater (teddy bear),00002f6f
Mom's hand-knit sweater (accent patch),00002f70
Mom's hand-knit sweater (quilted pattern),00002f71
Mom's hand-knit sweater (chicks),00002f72
Mom's handmade apron (m),0000223b
Mom's handmade apron (flowers),0000258f
Mom's handmade apron (animals),00002f73
Mom's handmade apron (quilted pattern),00002f7c
Mom's handmade apron (fruits),00002f7d
Mom's handmade apron (denim),00002f7e
Mom's handmade apron (forest print),00002f7f
Mom's handmade apron (family),00002f80
Simple knit sweater (white),00000aa5
Simple knit sweater (black),00000aaa
Simple knit sweater (camel),00001037
Argyle vest (blue),00000cbe
Argyle vest (pink),00002120
Argyle vest (brown),00002121
Argyle vest (red),00002122
Argyle vest (gray),00002123
Argyle vest (green),00002124
Viking top (brown),00002628
Viking top (gray),00002eae
Viking top (blue),00002eaf
Dotted raincoat (light blue),0000262f
Dotted raincoat (pink),00002e92
Dotted raincoat (green),00002e93
Dotted raincoat (blue),00002e94
Dotted raincoat (turquoise),00002e95
Dotted raincoat (gray),00002e96
Diner apron (pink),00002657
Diner apron (red),00002f36
Diner apron (blue),00002f37
Diner apron (yellow),00002f38
Diner apron (aquamarine),00002f39
Diner apron (cream),00002f3a
Diner apron (black),00002f3b
Explorer tee (camel),00000cc0
Explorer tee (avocado),000024d7
Explorer tee (beige),000024d8
Explorer tee (blue),000024d9
Printed layered shirt (black),0000265d
Printed layered shirt (yellow),00002f81
Printed layered shirt (white),00002f82
Printed-sleeve sweater (orange),0000265f
Printed-sleeve sweater (white),00002f83
Printed-sleeve sweater (black),00002f84
Plaid puffed-sleeve shirt (fancy plaid),00002663
Plaid puffed-sleeve shirt (energetic plaid),00002f33
Plaid puffed-sleeve shirt (dreamy plaid),00002f34
