Item Hex,Item Name
000012bb,Common wall
000012c1,Steel-frame wall
000012c2,Pink painted-wood wall
000012c3,White painted-wood wall
000012c4,Brown herringbone wall
000012c5,Chocolate herringbone wall
000012c6,Brown hallway wall
000012c7,Chocolate hallway wall
000012c8,Yellow-paint wall
000012c9,Orange-paint wall
000012cb,Blue-paint wall
000012cc,Green-paint wall
000012cd,Rustic-stone wall
000012ce,Blue-crown wall
000012cf,Black-crown wall
000012d0,Pink-crown wall
000012d1,Beige art-deco wall
000012d2,Red art-deco wall
000012d3,Screen wall
000012d4,Gold-screen wall
000012d5,Circuit-board wall
000012d9,Shutter wall
000012da,White botanical-tile wall
000012db,Brown botanical-tile wall
000012dc,Chic wall
000012de,Lattice wall
000012df,Beige blossoming wall
000012e0,Wavy-tile wall
000012e1,Bamboo wall
000012e2,Beige desert-tile wall
000012e3,Blue desert-tile wall
000012e4,Bamboo-screen wall
000012e5,Classic-library wall
000012e6,Manga-library wall
000012e7,Bank-vault wall
000012e8,Cabin wall
000012e9,Crepe-design wall
000012eb,Construction-site wall
000012ec,Stacked-wood wall
000012ed,Rammed-earth wall
000012ee,Groovy wall
000012ef,Retro flower-print wall
000012f0,Blue intricate wall
000012f1,Yellow intricate wall
000012f2,Ivy wall
000012f3,Rock-climbing wall
000012f4,Skyscraper wall
000012f5,Bamboo-grove wall
000012f6,Paintball wall
000012f7,Snowflake wall
000012f8,Dirt-clod wall
000012f9,Old wallpaper
000012fa,Wild-wood wall
000012fb,Wooden-mosaic wall
000012fc,Dark wooden-mosaic wall
000012fd,Stately wall
000012fe,Mosaic-tile wall
000012ff,Shoji screen
00001300,Modern shoji-screen wall
00001301,Honeycomb wall
00001302,Exquisite wall
00001303,Yellow simple-cloth wall
00001304,Pink simple-cloth wall
00001305,Blue simple-cloth wall
00001306,Orange molded-panel wall
00001307,Blue molded-panel wall
00001308,Gray molded-panel wall
00001309,Abstract wall
0000130a,Blue heart-pattern wall
0000130b,Pink heart-pattern wall
0000130c,Industrial wall
0000130d,Beaded-curtain wall
0000130e,Heavy-curtain wall
0000130f,Marine pop wall
00001310,Butterflies wall
00001311,Kisses wall
00001312,Blackboard wall
00001313,Camo wall
00001314,Blue camo wall
00001315,Purple camo wall
00001316,Pastel puzzle wall
00001317,Colorful puzzle wall
00001318,Blue playroom wall
00001319,Pink playroom wall
0000131a,Concrete wall
0000131b,White delicate-blooms wall
0000131c,Monochromatic dotted wall
0000131d,Pink flower-print wall
0000131e,Golden wall
0000131f,Pink blossoming wall
00001320,Blue blossoming wall
00001321,Red delicate-blooms wall
00001322,Green delicate-blooms wall
00001323,Pastel dotted wall
00001324,Red dotted wall
00001326,Purple dotted wall
00001327,Green blossoming wall
00001328,Modern wood wall
00001329,Autumn wall
0000132a,Rose wall
0000132b,Purple-rose wall
0000132c,Mod wall
0000132d,Honeycomb-tile wall
0000132e,Monochromatic-tile wall
0000132f,Wooden-knot wall
00001330,Blue honeycomb-tile wall
00001331,Green honeycomb-tile wall
00001332,White honeycomb-tile wall
00001333,Orange wall
00001334,Apple wall
00001335,Pear wall
00001336,Peach wall
00001337,Cherry wall
00001338,White perforated-board wall
00001339,Perforated-board wall
0000133a,Black perforated-board wall
0000133b,Gray shanty wall
0000133c,Pink shanty wall
0000133d,Blue shanty wall
0000133e,Brown shanty wall
0000133f,White-brick wall
00001340,Red-brick wall
00001341,Black-brick wall
00001342,Aqua tile wall
00001343,Colorful-tile wall
00001344,Dark-chocolate wall
00001345,White-chocolate wall
00001346,Strawberry-chocolate wall
00001347,Green flower-print wall
00001348,Ancient wall
0000134b,White simple-cloth wall
0000134c,Blue subway-tile wall
0000134d,White subway-tile wall
0000134f,Pink-striped wall
00001350,Gray-striped wall
00001351,Blue-striped wall
00001352,Yellow-striped wall
00001353,Sakura-wood wall
00001354,Blue painted-wood wall
00001355,Green painted-wood wall
0000142c,Mush wall
0000145f,Mortar wall
00001460,Stone wall
00001461,Straw wall
00001462,Office wall
00001465,Street-art wall
00001466,Dig-site wall
00001467,Woodland wall
00001468,Imperial wall
00001469,Ramshackle wall
0000146a,Party wall
0000146b,Dojo wall
0000146c,Ruins wall
0000146d,Garbage-heap wall
0000146e,Jingle wall
0000146f,Bunny Day wall
00001518,Cityscape wall
00001550,Tree-lined wall
00001551,Jungle wall
00001552,Mossy-garden wall
00001569,Backyard-fence wall
0000156a,Arched-window wall
0000156b,Café-curtain wall
0000156c,Meadow vista
0000156d,Chain-link fence
0000156e,Ocean-horizon wall
0000156f,Rice-paddy wall
00001570,Desert vista
00001571,Western vista
00001572,Server-room wall
00001573,Security-monitors wall
00001576,Future-tech wall
00001577,Laboratory wall
0000157a,Ski-slope wall
0000157b,Stormy-night wall
0000157c,Starry-sky wall
0000157d,Sea view
0000157e,Palace wall
0000157f,Stadium wall
00001580,Sky wall
00001581,Ice wall
00001582,Magma-cavern wall
00001584,Underwater wall
00001585,Dungeon wall
00001586,Sci-fi wall
00001588,Ringside seating
00001589,Summit wall
0000158a,Mangrove wall
00001590,Skull wall
00001591,Standard tearoom wall
00001598,Starry wall
000015b7,Basic wall
0000161d,Tropical vista
0000161e,Iceberg wall
00001774,Nook Inc. Wall
00001ac2,Brown-brick wall
00001ac3,Brown-crown wall
00001ac4,Blue delicate-blooms wall
00001ac5,Red perforated-board wall
00001ac6,Green molded-panel wall
00001ac7,Orange camo wall
00001ac8,Red two-toned tile wall
00001ac9,Peach two-toned tile wall
00001aca,Blue two-toned tile wall
00001acb,Black two-toned tile wall
00001acd,White hallway wall
00001ace,Black hallway wall
00001acf,Olive desert-tile wall
00001ad0,Purple desert-tile wall
00001ad1,Yellow playroom wall
00001ad2,Green playroom wall
00001ad4,White-rose wall
00001ad5,Blue-rose wall
00001ad6,Red heart-pattern wall
00001ad7,Yellow heart-pattern wall
00001ad8,Yellow flower-print wall
00001ad9,Blue flower-print wall
